Tick,Step,Animal_elevation,Animal_gain_from_elevation,Animal_reproduce,BioEnergy,Rule,0_Position,1_Position,ID
8,8,137,5,5,4,R2 - Stay at same elevation,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
8,8,108,5,5,20,R1 - Move up in elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
8,8,104,5,5,25,R1 - Move up in elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
8,8,169,5,5,12,R2 - Stay at same elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
8,8,67,5,5,19,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
8,8,93,5,5,10,R1 - Move up in elevation,28.0,9.0,204073e1-ffa5-44e6-9857-9ebb7232405b
8,8,139,5,5,23,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
8,8,109,5,5,8,R3 - Move down in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
8,8,88,5,5,20,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
8,8,166,5,5,12,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
8,8,90,5,5,8,R1 - Move up in elevation,3.0,19.0,f6b73bdb-86da-484d-a543-394450bcd732
8,8,208,5,5,0,R4 - Death by BioEnergy loss,12.0,35.0,74d00c45-a504-4e5b-ba86-80d214741004
8,8,60,5,5,21,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
9,9,122,5,5,20,R2 - Stay at same elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
9,9,55,5,5,2,R2 - Stay at same elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
9,9,185,5,5,28,R1 - Move up in elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
9,9,137,5,5,22,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
9,9,195,5,5,15,R2 - Stay at same elevation,36.0,3.0,0ae192a4-d0dd-4e12-be6f-7bfa1715ab9c
9,9,137,5,5,-2,R4 - Death by BioEnergy loss,10.0,24.0,852f62ba-3173-4950-994c-dd6d26024b3c
9,9,108,5,5,19,R2 - Stay at same elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
9,9,104,5,5,24,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
9,9,169,5,5,16,R1 - Move up in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
9,9,67,5,5,23,R1 - Move up in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
9,9,129,5,5,14,R1 - Move up in elevation,29.0,8.0,204073e1-ffa5-44e6-9857-9ebb7232405b
9,9,139,5,5,17,R3 - Move down in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
9,9,109,5,5,12,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
9,9,88,5,5,24,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
9,9,166,5,5,6,R3 - Move down in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
9,9,90,5,5,2,R3 - Move down in elevation,3.0,19.0,f6b73bdb-86da-484d-a543-394450bcd732
9,9,60,5,5,25,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
10,10,122,5,5,19,R2 - Stay at same elevation,16.0,17.0,2d3d6486-7079-4e30-a307-3c79a3f1c381
10,10,55,5,5,6,R1 - Move up in elevation,6.0,5.0,a4c52e06-8e6f-4082-b489-6ad5c179c421
10,10,185,5,5,27,R2 - Stay at same elevation,13.0,43.0,9b9bfb60-f91a-4218-b33a-fed3bf2351e7
10,10,137,5,5,26,R1 - Move up in elevation,41.0,1.0,00fc6a1f-c7aa-4d05-86fd-090e01dba052
10,10,196,5,5,9,R3 - Move down in elevation,35.0,4.0,0ae192a4-d0dd-4e12-be6f-7bfa1715ab9c
10,10,108,5,5,23,R1 - Move up in elevation,4.0,17.0,6ccd3974-8638-426c-be3c-9782bd359a7b
10,10,104,5,5,23,R2 - Stay at same elevation,45.0,9.0,cf3c8efc-82f1-4fcf-b30e-90dc21229030
10,10,169,5,5,10,R3 - Move down in elevation,31.0,3.0,ac5bcd5b-0925-4583-883f-32e16bbd71a6
10,10,67,5,5,17,R3 - Move down in elevation,36.0,35.0,8da168de-e9da-4f88-92fc-2b33c2b7b020
10,10,197,5,5,13,R2 - Stay at same elevation,30.0,8.0,204073e1-ffa5-44e6-9857-9ebb7232405b
10,10,139,5,5,21,R1 - Move up in elevation,21.0,25.0,ed797fde-9f4f-4df6-8fd9-23db0eeb63f4
10,10,109,5,5,16,R1 - Move up in elevation,30.0,27.0,6bc33cf7-e032-4e7d-9e3c-f9565265554e
10,10,88,5,5,28,R1 - Move up in elevation,5.0,41.0,87728ce3-a9d8-4ecd-bdce-e767c6df8781
10,10,166,5,5,10,R1 - Move up in elevation,22.0,39.0,b11a16f5-280b-4b0f-92a9-4257bd93e5ea
10,10,90,5,5,6,R1 - Move up in elevation,3.0,19.0,f6b73bdb-86da-484d-a543-394450bcd732
10,10,60,5,5,29,R1 - Move up in elevation,22.0,0.0,c165d6ac-9fcc-497c-8e91-eee5349ce42e
