AnimalID,TickNum,LandscapePatch 0,LandscapePatch 1,LandscapePatch 2,LandscapePatch 3,LandscapePatch 4,LandscapePatch 5,LandscapePatch 6,LandscapePatch 7,LandscapePatch 8,Current Elevation,Previous Elevation,Fitness Gained,Average Fitness,Total Fitness,X Pos,Y Pos
52,2,14,14,14,12,12,12,10,10,10,12,10,2,2.0,4,5,16
53,2,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1,44,4
54,2,26,29,31,25,27,29,23,25,27,27,23,4,4.0,4,18,15
55,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,47,3
56,2,35,33,31,34,32,30,32,31,29,32,31,1,1.0,1,34,22
57,2,40,38,36,39,37,35,38,36,34,37,34,3,2.5,5,32,23
58,2,34,33,32,32,31,30,31,30,29,31,32,-1,0.0,0,26,14
59,2,19,19,20,21,21,22,23,23,24,21,19,2,2.0,4,8,30
60,2,5,6,8,5,6,8,5,6,8,6,6,0,1.0,1,12,2
61,2,25,24,23,25,24,23,25,24,23,24,23,1,1.0,2,26,47
62,2,43,44,44,45,46,46,47,48,48,46,48,-2,2.0,0,23,29
63,2,37,39,41,39,41,43,40,42,44,41,37,4,4.0,8,19,29
64,2,11,13,16,11,13,16,12,14,16,13,11,2,2.0,2,16,46
65,2,24,22,20,23,21,19,23,21,19,21,19,2,2.0,4,29,9
66,2,4,4,3,3,3,3,3,2,2,3,2,1,1.0,1,42,9
67,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3
68,2,34,34,34,36,36,36,38,38,38,36,34,2,2.0,4,24,34
69,2,29,26,24,31,28,26,33,31,28,28,24,4,4.0,8,31,33
70,2,39,37,34,37,35,33,35,33,31,35,31,4,4.5,9,31,20
71,2,2,3,4,2,3,4,2,3,4,3,2,1,1.0,2,9,1
72,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0,3,46
73,2,38,37,36,40,39,38,42,41,40,39,37,2,2.5,5,26,32
74,2,2,2,1,1,1,1,1,1,1,1,1,0,0.0,0,47,7
75,2,4,5,6,4,5,6,4,5,6,5,4,1,1.0,2,11,4
76,2,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1,2,6
77,2,18,17,16,20,19,18,22,21,20,19,20,-1,2.0,1,38,32
78,2,8,8,8,10,10,10,12,12,12,10,12,-2,2.0,0,5,35
79,2,2,2,2,1,2,2,1,1,2,2,1,1,1.0,1,6,6
80,2,14,15,17,16,17,19,18,19,21,17,14,3,3.0,6,12,34
81,2,25,25,25,25,25,25,25,25,25,25,25,0,1.0,1,24,48
82,2,46,44,42,46,44,42,46,44,42,44,42,2,2.0,4,29,25
83,2,29,30,29,31,31,31,32,32,32,31,30,1,1.5,3,24,37
84,2,37,38,39,39,40,41,41,42,43,40,39,1,2.0,4,21,31
85,2,24,23,23,25,25,24,27,26,25,25,23,2,2.0,4,40,28
86,2,35,37,39,37,39,41,39,41,43,39,35,4,4.0,8,19,30
87,2,11,12,13,9,10,11,8,9,9,10,9,1,1.0,1,9,14
88,2,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1,43,47
89,2,37,35,33,35,33,31,33,31,28,33,31,2,3.5,7,30,18
90,2,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,4,46
91,2,22,22,22,20,20,20,18,18,18,20,20,0,0.0,0,44,20
92,2,36,38,40,36,38,40,35,37,39,38,36,2,2.0,4,16,24
93,2,29,31,33,31,33,35,32,34,37,33,29,4,4.0,8,16,30
94,2,34,32,31,32,31,29,30,29,27,31,27,4,4.0,8,28,15
95,2,31,32,34,29,31,32,27,29,30,31,27,4,4.0,4,20,15
0,3,31,29,27,29,27,25,27,25,23,27,23,4,3.0,6,29,14
1,3,5,6,8,5,6,8,0,0,0,6,5,1,1.0,3,12,0
2,3,1,1,1,1,1,1,1,1,0,1,1,0,0.0,0,46,5
3,3,20,18,16,19,17,15,19,17,15,17,15,2,2.0,4,31,9
4,3,11,9,8,11,9,8,11,9,8,9,8,1,1.5,3,34,1
5,3,35,33,31,36,34,32,36,34,32,34,31,3,2.666667,8,34,26
6,3,30,29,28,31,29,28,31,30,29,29,28,1,1.666667,5,37,26
7,3,2,3,4,2,3,4,2,3,4,3,2,1,1.0,2,9,47
8,3,20,21,23,20,21,23,20,21,23,21,20,1,1.333333,4,20,1
9,3,14,15,17,16,17,19,18,19,21,17,14,3,3.0,6,12,34
10,3,44,42,40,44,42,40,43,41,39,42,40,2,2.333333,7,30,24
11,3,24,25,25,24,25,25,24,25,25,25,25,0,0.0,0,23,47
12,3,11,9,8,12,11,9,13,12,11,11,8,3,2.5,5,37,37
13,3,44,42,40,44,42,40,43,41,39,42,40,2,2.0,6,30,24
14,3,0,25,25,0,25,25,0,24,24,25,25,0,1.0,1,0,24
15,3,32,30,29,33,31,30,34,32,31,31,29,2,2.5,5,35,27
16,3,27,27,26,26,26,25,26,26,25,26,26,0,1.0,1,25,8
17,3,24,24,24,25,25,25,25,25,25,25,24,1,1.0,3,3,26
18,3,22,21,21,20,20,20,18,18,18,20,18,2,2.333333,7,47,20
19,3,34,34,33,36,36,35,38,38,37,36,34,2,2.5,5,25,34
20,3,2,3,4,2,3,4,3,3,4,3,4,-1,1.0,1,9,45
21,3,22,23,24,21,23,24,21,23,24,23,21,2,1.666667,5,21,2
22,3,27,29,30,26,27,29,24,25,27,27,24,3,2.333333,7,12,21
23,3,25,25,0,25,25,0,24,24,0,25,25,0,0.0,0,49,24
24,3,9,8,8,11,10,10,13,12,12,10,12,-2,2.0,2,42,35
25,3,15,17,19,15,17,19,14,16,18,17,15,2,2.0,6,17,8
26,3,31,33,35,30,32,34,29,31,32,32,29,3,3.333333,10,14,22
27,3,25,25,25,25,25,25,24,24,24,25,24,1,1.0,2,45,24
28,3,25,27,29,23,25,27,22,24,26,25,22,3,3.0,6,19,13
29,3,17,15,13,16,14,12,15,13,11,14,11,3,2.333333,7,34,12
30,3,47,45,43,48,46,44,48,46,44,46,43,3,3.0,9,28,26
31,3,12,10,8,12,10,8,11,10,8,10,8,2,1.666667,5,34,5
32,3,39,41,43,40,42,44,40,42,44,42,39,3,2.0,4,18,26
33,3,48,49,49,49,50,50,49,50,50,50,50,0,1.0,1,23,26
34,3,24,24,24,25,25,25,25,25,25,25,25,0,1.0,1,45,26
35,3,25,25,25,25,25,25,25,25,25,25,25,0,1.0,2,3,25
36,3,6,5,4,6,5,4,6,5,4,5,4,1,1.0,3,37,1
37,3,1,1,1,1,1,1,1,1,1,1,1,0,0.0,0,3,45
38,3,40,38,36,40,38,36,39,37,35,38,36,2,2.333333,7,32,24
39,3,27,27,28,27,28,29,27,27,28,28,27,1,1.0,2,9,25
40,3,32,34,36,32,34,36,31,33,35,34,31,3,2.666667,8,14,24
41,3,37,35,33,39,37,34,40,38,36,37,33,4,4.0,12,31,29
42,3,6,7,7,8,8,8,10,10,10,8,7,1,1.333333,4,5,36
43,3,27,28,29,28,29,30,27,28,29,29,28,1,1.0,3,10,25
44,3,48,48,47,49,49,48,50,50,49,49,47,2,2.666667,8,25,27
45,3,50,50,50,49,49,49,48,48,48,49,50,-1,1.0,1,24,23
46,3,14,13,13,12,11,11,10,9,9,11,9,2,2.0,4,40,15
47,3,31,32,32,30,31,31,29,29,30,31,31,0,1.5,3,23,13
48,3,3,3,3,4,4,4,5,5,5,4,4,0,0.0,0,1,39
49,3,27,25,23,25,23,21,24,22,20,23,20,3,3.0,6,30,13
50,3,20,20,20,18,18,18,15,16,16,18,16,2,2.333333,7,2,19
51,3,29,28,28,30,29,29,31,31,30,29,28,1,2.0,4,25,38
52,3,16,16,16,14,14,14,12,12,12,14,12,2,2.0,6,5,17
53,3,1,1,1,1,1,1,1,1,1,1,1,0,1.0,1,45,5
54,3,26,28,31,24,26,29,22,25,27,26,27,-1,4.0,3,17,16
55,3,1,1,1,1,1,0,1,0,0,1,0,1,1.0,1,46,4
56,3,38,36,34,37,35,33,36,34,32,35,32,3,2.0,4,33,23
57,3,41,39,37,40,38,36,39,37,34,38,37,1,2.0,6,31,22
58,3,35,34,32,33,32,31,31,30,29,32,31,1,1.0,1,27,15
59,3,21,21,22,23,23,24,24,25,25,23,21,2,2.0,6,8,29
60,3,6,8,9,6,8,9,6,8,9,8,6,2,1.5,3,13,2
61,3,25,25,24,25,25,24,25,25,24,25,24,1,1.0,3,25,47
62,3,45,46,46,47,48,48,48,49,49,48,46,2,2.0,4,23,28
